,Industry,Furniture and Home Furnishings Stores,Electronics and Appliance Stores,Building Material and Garden Equip and Supplies Dlrs,Food and Beverage Stores,Health and Personal Care Stores,Gasoline Stations,Clothing and Clothing Accessories Stores,"Sporting Goods, Hobby, Musical Instr, and Book Stores",General Merchandise Stores,Miscellaneous Store Retailers,Nonstore Retailers,Ambulatory Health Care Services,"Amusement, Gambling, and Recreation Industries",Accommodation,Food Services and Drinking Places,Repair and Maintenance,"Automotive Parts, Accessories, and Tire Stores",Total retail and food service¹,"Total retail and food service, excluding nonstore"
"June 17 - June 23, 2020",Median,12.8,28.3,13.5,17.2,-2.8,-22.4,-7.6,47.4,15.4,-7.8,6.7,-12.8,-50.1,-56.0,-33.1,-7.2,13.5,3.1,3.2
"June 24 - June 30, 2020",Median,19.3,26.0,13.6,13.3,-1.2,-24.1,-7.9,33.6,11.7,-6.2,1.4,-9.6,-44.8,-55.2,-35.1,-3.9,17.1,0.8,1.0
"July 1 - July 7, 2020",Median,22.7,56.2,25.6,24.9,21.5,-17.5,-7.5,37.1,17.1,-4.4,8.2,-19.1,-45.8,-52.3,-38.3,8.6,19.9,5.9,6.5
"July 8 - July 14, 2020",Median,6.6,16.3,4.3,-1.6,-8.3,-32.2,-18.0,15.2,-3.5,-14.4,-8.7,-6.5,-50.0,-62.4,-42.7,-7.7,15.1,-10.8,-10.8
"July 15 - July 21, 2020",Median,12.6,23.5,9.1,15.0,-3.7,-21.8,-13.0,24.4,7.6,-6.3,0.7,-0.5,-49.3,-53.9,-36.8,-6.5,11.7,-1.4,-1.5
"July 22 - July 28, 2020",Median,15.6,24.8,11.7,15.1,0.0,-19.9,-8.4,28.5,7.8,-5.6,4.5,-0.4,-48.6,-53.5,-34.3,-5.0,16.7,0.4,0.3
"July 29 - Aug. 4, 2020",Median,19.7,30.1,17.2,19.3,4.5,-19.2,-9.9,25.5,7.5,-2.4,4.3,-1.9,-44.5,-48.3,-32.8,-5.2,16.3,2.0,2.1
"Aug. 5 - Aug. 11, 2020",Median,14.3,22.6,20.2,9.0,0.7,-22.5,-14.9,20.3,9.1,-8.2,-4.3,-7.8,-43.5,-46.0,-32.0,-5.4,18.1,-1.7,-1.2
"Aug. 12 - Aug. 18, 2020",Median,17.7,31.2,16.9,15.3,1.8,-19.6,-15.3,21.4,6.0,-4.9,-0.8,-2.1,-45.1,-46.7,-31.6,-5.4,16.1,-0.2,0.1
"Aug. 19 - Aug. 25, 2020",Median,16.6,26.8,17.4,13.5,1.4,-20.1,-16.9,18.0,3.2,-5.8,-0.4,-6.7,-47.9,-49.4,-33.1,-6.0,14.2,-1.5,-1.8
"Aug. 26 - Sep. 1, 2020",Median,24.4,38.1,21.8,13.3,3.4,-21.0,-15.5,21.6,6.1,-4.5,0.5,-5.8,-43.1,-50.4,-31.9,-6.7,14.1,0.3,0.3
